# class coastal green red blue red_edge1 red_edge2 red_edge3 swir1 swir2 NDVI LAI MNDWI
1 682 891.5 1289 700.5 2072 1746.5 1921.5 4165.5 3424 0.232966 0.368676 -0.64742 
1 674 1402 2195 937 2975 2527 2728.5 4491.5 3561 0.15087 0.251039 -0.524222 
1 715.5 1007 1450 701.5 1830 1708 1945 3416.5 3049 0.115854 0.107107 -0.544704 
1 420 1072 1588 659 2216 2122 2241 3307 2484 0.165089 0.22008 -0.510391 
1 780 1638 2086 1264 2850 2585 2731 4348 3416 0.154781 0.316998 -0.452723 
1 666 1236 1784 927 2312 2054 2254 3960 3462 0.128906 0.179305 -0.524249 
1 531 1329 2730 701.5 3459 3262.5 3389.5 5423 4526 0.11779 0.150283 -0.606339 
1 669.5 1378 1868 1044 2665 2259.5 2391.5 4221.5 3226 0.175822 0.331346 -0.507813 
1 928 1456 1919 1146 2672 2325 2519.5 4670.5 3829 0.164017 0.318847 -0.524688 
1 774 1578 1976 1124 2932 2611 2764 4081 3062 0.194784 0.410611 -0.442304 
1 545 1040 1444 803 2164 1907 2055 3660 3384 0.199557 0.321864 -0.557447 
1 631 1088 1440 849 2124 1789 1923 4033 3493 0.191919 0.311742 -0.575083 
1 589 900 1218 633 2128 1686 1961 3198 2360 0.271967 0.442367 -0.560761 
1 617.5 1217 1798 851.5 2420 2131 2310 3946.5 3309.5 0.147463 0.216447 -0.528614 
1 1706 2530 2996 2222 3492 3219.5 3341.5 5125 4952.5 0.076449 0.185068 -0.338994 
1 643 1428 1998 996 2622 2299 2451 3777 3309 0.135065 0.211293 -0.451297 
1 844 1396 1880 1092 2424 2198 2342 4278 3881 0.126394 0.199164 -0.507931 
1 640 1256 1810 920 2522 2254 2404 4314 3270 0.164358 0.272732 -0.549013 
1 858 1733 2296 1228 3013 2641 2811.5 4716.5 3908 0.135054 0.250921 -0.462594 
1 633 1216 1694 905 2360 2011 2214 4746 3921 0.164282 0.264802 -0.592083 
1 653 1064 1556 772 2192 1956 2142 3582 3047 0.169691 0.247524 -0.541972 
1 689 1298 1852 948 2330 2236 2395 3647 2683 0.114299 0.146726 -0.475025 
1 662 1312 1732 1008 2354 2106 2264 3970 2762 0.152227 0.252472 -0.503218 
1 1220 1666 2160 1328 3116 2690 2851 4775 4169 0.181198 0.418549 -0.482689 
1 813 1578 2004 1170 3000 2627 2825 4489 3343 0.199041 0.436423 -0.479809 
1 818 1472 2206 1036 2988 2538 2719 4871 4319 0.150558 0.265288 -0.535866 
1 681.5 1211 1691 857.5 2480 2189.5 2361 4085 3192.5 0.189163 0.322668 -0.542674 
1 765.5 1334 1892 1004 2480 2230.5 2346.5 3879.5 2862.5 0.134492 0.208246 -0.488252 
1 762 1222 1668 980 2348 1972 2166 4329 3530 0.169323 0.291876 -0.559719 
1 1414 2054 2796 1584 3542 3171 3439 5918 5255 0.117703 0.24796 -0.484696 
1 604 1284 1920 929 2478 2282 2400 3494 2675 0.126876 0.178357 -0.462537 
