class,coastal,green,red,blue,nir,red_edge1,red_edge2,red_edge3,swir1,swir2,NDVI,LAI,MNDWI
1,733,1360,1868,1044,2598,2142,2229,2389,4266,3395,0.163457199931145,0.295298010110855,-0.516530394554138
1,675,991,1330,838,1822,1501,1565,1724,3874,2837,0.15609136223793,0.211225420236588,-0.592600226402283
1,690.5,1219,1578,846,2423,1909,2188.5,2341.5,3552.5,2830.5,0.211197197437286,0.37363937497139,-0.489049583673477
1,673.5,1208,1647,915,2408,1921,2112.5,2278.5,4179.5,3308,0.187669530510902,0.328167200088501,-0.551554560661316
1,981,1516,2008,1194,2922,2285,2601,2841,5052,4259,0.185395538806915,0.398211687803268,-0.538367867469788
1,819,1333,1786,1012,2503,2170.5,2348.5,2500,3845,2959.5,0.167171820998192,0.296950697898865,-0.4851293861866
1,516,1038,1584,739,2220,1782,1864,2025,4641,3974,0.167192444205284,0.237506002187729,-0.634442687034607
1,727,1260,1712,950,2216,1835,1917,2012,3949,3199,0.128309547901154,0.178731024265289,-0.516221880912781
1,752,1450,2040,1064,2624,2285,2384,2553,4422,3626,0.125214412808418,0.194857180118561,-0.506130814552307
1,432,1106,1778,672,2384,2027,2102,2266,4817,3926,0.145603075623512,0.186312109231949,-0.62654060125351
1,729,1293,1690,872.5,2613,2013.5,2350.5,2526,3791.5,3160.5,0.2145015001297,0.397047609090805,-0.491395384073257
1,628,1032.5,1465,791,2195,1683.5,1843,2024.5,4186.5,3393.5,0.199453547596931,0.320654720067978,-0.604330360889435
1,724,847,1170.5,701.5,1616,1505.5,1693.5,1942.5,3397.5,3267,0.159877970814705,0.183212637901306,-0.600895285606384
1,494,1192,1714,822,2764,2100,2369,2540,4588,3591,0.234479695558548,0.444533377885819,-0.587543249130249
1,786,1230,1686,977,2348,1924.5,2015.5,2169,4353,3706,0.164105117321014,0.277586221694946,-0.559376657009125
1,692,1295,1830,909.5,2293,1945,2102,2229,3635,2729.5,0.112296894192696,0.136552572250366,-0.474645018577576
1,777,1421,1885,1044,2704,2165.5,2290.5,2426.5,4036,3088.5,0.178470239043236,0.339726954698563,-0.479201018810272
1,712,1300,1708,1050,2314,1928,2031,2166,3954,3336,0.150671303272247,0.255205482244492,-0.5051389336586
1,744,1331,1873,872.5,2512,2178.5,2280.5,2434,4795,3886,0.145724043250084,0.217910200357437,-0.565458714962006
1,643,1056,1344,742,2406,1759,2257,2386,3575,2516,0.283200025558472,0.526467680931091,-0.543942987918854
1,852.5,1481,1984,1062,2589,2286.5,2345.5,2536,4552,3884.5,0.132298231124878,0.213088035583496,-0.509033679962158
1,730,1276,1679,968,2167,1927.5,1981.5,2104.5,3701,3085,0.12688510119915,0.176637232303619,-0.487241327762604
1,713,1473,2149,1036.5,2822,2433.5,2562,2685.5,4137.5,3067,0.135385245084763,0.22127103805542,-0.474913090467453
1,1242,1790,2340,1266,3218,2646,2786,2988,4149,3200,0.157970502972603,0.329081535339355,-0.397204905748367
1,580,1428,2014,957,2632,2156,2291,2366,3570,2558,0.133017674088478,0.200716614723206,-0.428571403026581
1,536,1024,1360,728,1892,1545,1643,1776,4066,3676,0.163591593503952,0.211765587329865,-0.597642421722412
1,765.5,1874,2558,1351,3332,2898,3092,3252,4458.5,3134.5,0.131409168243408,0.259454131126404,-0.408132702112198
1,779,1449,1994,1044.5,2511,2243,2304,2445,3747.5,2858,0.114761397242546,0.163004487752914,-0.442316949367523
1,674,1312,1828,968,2442,2027,2089,2269,3950,3322,0.143793940544128,0.225878059864044,-0.501330316066742
1,1180,1617,2001,1134,2744,2392,2675.5,2897,4769,4085.5,0.156585857272148,0.295692473649979,-0.493579745292664
1,554.5,1253,1665,860,2200,1825.5,1945,2041.5,4017,3376,0.138421729207039,0.189438045024872,-0.524478137493134
1,806,1092,1626,732,2086,1858,1951,2128,3890,3429,0.123922422528267,0.136445969343185,-0.561621844768524
1,719,1356,1714,1002,2700,2075,2418,2573,4195,3441,0.223380193114281,0.458531886339188,-0.511439383029938
1,864,1370,1870,1064,2524,2172,2299,2411,3879,3010,0.148839324712753,0.25724932551384,-0.477995842695236
1,747,1378,1812,993,2308,2157,2181,2294,3979,3232,0.120388358831406,0.167162597179413,-0.485532999038696
1,940,1478,1920,1136,3006,2281,2593,2779,4794,3902,0.220462828874588,0.495699197053909,-0.528698980808258
1,1073,1606,2096,1238,2754,2412,2464,2636,4606,3885,0.135670125484467,0.25293242931366,-0.482936263084412
1,648,1206,1746,819,2250,2008,2092,2211,3498,2819,0.12612609565258,0.156892448663712,-0.48724490404129
